,Reserves.DTH_BEN,Reserves.COMM,Reserves.EXPS_ACQ,Reserves.EXPS_MAINT,Reserves.EXPS_CLAIM,Reserves.EXPS,Reserves.INFL_FAC,Reserves.LAPSE_RATE,Reserves.MORT_RATE_ANN,Reserves.MORT_RATE_MLY,Reserves.NET_CF,Reserves.POLS_IF,Reserves.POLS_DTH,Reserves.POLS_LAPSE,Reserves.POLS_MAT,Reserves.PREM_PAYBL_M,Reserves.SURR_BEN,Reserves.MAT_BEN,Reserves.INT_NET_CF,Reserves.DISC_RATE_M,Reserves.RESERVE,Reserves.RESERVE_PP,Reserves.INCM_BEN,Projection.AGE,Projection.DTH_BEN,Projection.COMM,Projection.DUR_Y,Projection.EXPS_ACQ,Projection.EXPS_MAINT,Projection.EXPS,Projection.INFL_FAC,Projection.LAPSE_RATE,Projection.MORT_RATE_ANN,Projection.MORT_RATE_MLY,Projection.NET_CF,Projection.POLS_DTH,Projection.POLS_IF,Projection.POLS_LAPSE,Projection.POLS_MAT,Projection.PREM_PAYBL_M,Projection.SURR_BEN,Projection.MAT_BEN,Projection.INT_NET_CF,Projection.EXPS_CLAIM,Projection.PV_DB,Projection.SSV,Projection.BASE_MORT_RATE,Projection.RESERVE_PP,Projection.RESERVE_IF,Projection.INCR_RESERVE,Projection.INT_RESERVES,Projection.PROFIT_AFT_TAX,Projection.SOLVM_IF,Projection.INCR_SOLVM,Projection.INT_SOLVM,Projection.DISC_RATE_M,Projection.INV_EXP_SOLVM,Projection.TAX_INT_SOLVM,Projection.PROFIT_AFT_TAX_SOLVM,Projection.PV_FP,Projection.VIF,Projection.GSV,Projection.SURR_VAL,Projection.INCM_FAC,Projection.PV_INCM_BEN,Projection.INCM_BEN,Projection.DUR_M,Projection.PROFIT_BEF_TAX,Projection.TAX_PROFIT
10,3058169.8058726033,691869.9210090219,0.0,377530.29561556113,185709.756468818,563240.0520843791,1.0414963426982509,665.3040000000001,75.60399456,6.3503152715251225,-8315308.628441371,9041.478652907565,5.566642671139264,52.08413078843476,37.073623280367514,5173055.058612658,2751473.0731060733,727108.6501056837,-6463.125669375558,0.0040741237836483535,929977930.5360464,983207790.7630875,5690039.059206892,511154,2520574.6125285747,670545.8552967188,87294,0.0,462640.6509269794,629572.8230869519,1.0332239140918233,831.63,63.003328800000006,5.284882513845441,-8542432.106318412,4.5883966178088915,8908.361065655481,64.56599872352548,36.74325389291207,5080405.563138513,3430087.752906249,720630.140361455,-9065.918892792923,166932.1721599725,32531.957305700034,708300020.0347877,78.754161,983888034.9089606,925272771.0204856,-5739307.148254917,4979218.514642187,1826174.7537395912,68083653.87010005,-565063.1848042739,367145.57306125545,0.00527742471784598,10798.748691878494,51393.580713269956,2696191.182199972,142448425.16556278,138666676.0560868,196834774.6,698369840.5011412,5425.1282,51914.96751182042,5642360.566384184,1108527,2176093.5565786925,349918.80283910135
11,3034577.0788251124,670238.8402486352,0.0,375122.19626121846,211177.97060952586,586300.1668707443,1.0457395277186206,660.7360000000001,76.07551584,6.390266006318756,-8716537.563041106,8947.778243291397,5.531514523962125,51.09527181183807,47.12997404303641,5096722.656565865,2735083.03633234,1119084.7973985157,-6559.563841220421,0.0040741237836483535,925050238.1780702,983559735.8090782,5661416.736090401,511844,2498514.550010225,647472.3427557186,87984,0.0,458996.4670681174,646499.9543693098,1.036606420323305,825.92,63.39626320000001,5.3180813344751305,-8929156.830943342,4.5547361504002675,8803.865008495259,63.198067116910586,46.69487457672447,4996060.846742018,3406342.148962821,1108467.5512258778,-9194.239574621082,187503.4873011924,32367.51491189848,707567537.2098235,79.245329,984217713.0388632,919234846.4683044,-6037924.552181219,4948523.677180981,1731903.7308202838,67481438.50850765,-602215.3615924033,364123.5144460178,0.00527742471784598,10709.861738275944,50970.28707029473,2636562.458050134,141468282.27472946,137723438.26120436,196612692.6,697938955.374988,5429.3104,51758.365258771024,5608726.8907867875,1118527,2057291.3984188589,325387.66759857506
12,3016530.015550597,650279.6057642502,0.0,372310.38869893353,231697.19907840402,604007.5877773376,1.05,655.6320000000001,76.94154048,6.463283940184315,-8786553.362184644,8845.107112647493,5.498425637506373,50.042730963360945,37.34124812932936,5026668.06949883,2915697.9351637214,1009679.0000932375,-6544.690866925377,0.0040741237836483535,920032453.9923165,983758045.148912,5610482.596467404,513923,2480607.4943288523,626177.9741321654,90063,0.0,455023.7745415334,667455.8376341291,1.04,819.54,64.1179504,5.378809396850805,-9041275.741039742,4.521998045775528,8690.887762094784,61.76037377797408,36.992134440218635,4918346.012760944,3622766.665990518,1000377.0031131414,-9177.021857124722,212432.0630925957,32221.99796850661,707131845.1375749,80.147438,984393820.9022856,913141056.905981,-6093789.562323449,4916231.780625388,1640364.59308471,66899143.370536335,-582295.1379713196,360902.759368231,0.006496134585383784,10615.13058193075,50519.1605527798,2522428.19928955,140574505.89131263,136866258.48877314,197375087.7,712592331.5447935,5415.8341,51628.42468635487,5553059.7567447545,1128527,1968745.601909095,328381.0088243851
13,2985560.725041068,301412.044974225,0.0,369926.166309763,179376.46381602128,549302.6301257842,1.0542778299728308,468.5280000000001,77.47102848,6.50820357920503,-8133205.774938545,8767.126190745996,5.436743348657912,35.202930423510516,30.86683265476726,4961407.361954206,2766704.484839634,929518.4983779949,-5161.442887287782,0.0040741237836483535,915647574.3199164,983909287.3965253,5556953.310646756,514650,2452554.467936374,293549.9157896972,90790,0.0,451417.9530504128,613693.6127193774,1.043404689373487,585.6600000000001,64.5591904,5.4161291807045835,-8370804.536267358,4.466561614600658,8605.903546220201,43.52551981976429,30.514656941976,4845756.874826077,3434593.709963295,919090.9564861931,-8198.646182527687,162275.65966896457,31852.660531709298,716068441.9705092,80.698988,984522098.425904,907875626.4626331,-5265430.443347824,5370180.2282728255,1905332.8542568965,66408576.87673644,-490566.49379989336,393433.69165124896,0.006496134585383784,10462.32006835681,55232.55934801481,2723638.160291667,139582363.94659954,135956874.29660425,209369642.5,721868492.130514,5403.5424,51335.47235872581,5494880.10201597,1138527,2264806.1353532914,359473.281096395
14,2973113.695328003,297816.68318305654,0.0,368417.7823251303,174090.11122019577,542507.8935453261,1.0585730883544962,468.87200000000007,78.03414432,6.556007774835258,-7929417.666395182,8695.905313540696,5.412839419118537,34.941205131413305,28.73441570831415,4909557.46052573,2751417.1152167097,757122.1078717113,-5168.052843243924,0.0040741237836483535,911448618.2134979,984233944.7393389,5511829.578932861,515385,2440286.786578151,289745.7139164898,91525,0.0,448819.4823775358,606516.0428791369,1.0468205248140217,586.09,65.0284536,5.455840688286961,-8159933.134993322,4.443199316433864,8527.785053636982,43.16063632480841,28.40024968659346,4790268.915905208,3412359.3431988517,747961.2732752315,-8194.7840805072,157696.5605016011,31709.031439385806,715168513.6908262,81.285567,984824695.3194842,902517989.729889,-5357636.732744124,5339214.245255895,2144672.575680475,65923287.41775741,-485289.45897903165,390548.67135155544,0.006496134585383784,10385.600645441053,54827.24282069832,2955297.862544923,138344437.19286218,134801459.0992923,210248635.5,721242846.0540782,5409.6754,51178.78859571836,5445138.106970162,1148527,2536917.843006697,392245.26732622174
15,2957865.9287585565,293089.90167640697,0.0,366993.35458458547,171690.73341078343,538684.0879953689,1.0628858461504913,469.1040000000001,78.53714304,6.598590538113205,-7963032.656963758,8627.112835635224,5.378509766956139,34.679552430203195,27.769337593313963,4835821.900418999,2736182.3158405763,757649.047393333,-5435.7322092024515,0.0040741237836483535,907198940.0495712,984482587.1615967,5509947.543509313,516105,2425726.460658205,284830.97789604386,92245,0.0,446286.8610726784,601686.394956296,1.0502475428109277,586.3800000000001,65.4476192,5.4912318076448,-8183379.165547099,4.411266641486136,8452.177455289608,42.79608201929644,27.404777066945783,4713267.483410025,3390213.0636849636,747449.9172548944,-8562.89282399062,155399.53388361752,31566.99606580773,714527745.9418807,81.809524,985051418.0260941,897556121.474553,-4961868.255336031,5307705.9972860385,1738359.3770651428,65422880.823815346,-500406.5939420641,387694.6852801935,0.006496134585383784,10309.706495085244,54426.30441932116,2561724.6453729942,137504781.89894104,134044076.01585317,208227711.1,720488390.5395668,5440.2554,51035.51133097269,5438176.941682731,1158527,2086195.0870749706,347835.71000982774
16,2944659.524609116,288927.1191310384,0.0,365604.8196102,194917.16617111338,560521.9857813134,1.0672161746555962,469.3040000000001,79.02843072,6.640186683105842,-8040030.568427076,8559.571122242472,5.352600416846201,34.41977538259014,36.77182277431757,4780652.864232829,2724067.9912855714,816404.4598819901,-5518.250638767731,0.0040741237836483535,902854950.2593006,984600081.5689905,5480584.101332108,516833,2412870.3057665112,280481.8532022628,92973,0.0,443774.737935961,617747.9436997622,1.0536857799729844,586.6300000000001,65.8570256,5.5258020956913825,-8246345.999281936,4.3863333161900355,8377.951967456045,42.434377450427,36.267531964823405,4654712.994498427,3371950.544915634,805211.224840264,-8666.673300787128,173973.2057638012,31428.16900874625,714199991.2791368,82.321282,985148952.1631132,892305067.779639,-5251053.694913937,5278525.262723094,1909149.899998952,64949480.223261036,-473400.60055431287,384751.7953766441,0.006496134585383784,10231.448184345141,54012.91071860741,2703057.937026956,136488881.56829146,133110182.87634794,208690833.0,720731982.5333683,5450.2492999999995,50899.20962224933,5404130.448055142,1168527,2283232.9583550934,374083.0583561415
17,2922377.875781235,284007.66702695814,0.0,363826.770629432,196836.4320998744,560663.2027293064,1.0715641454550546,469.63200000000006,79.60443167999999,6.689135779917175,-8118035.998975706,8483.349772507583,5.3152928541038325,34.134234106468995,37.47349224615648,4709906.9913383825,2710961.6175134927,877580.8987689419,-5722.338412661099,0.0040741237836483535,898415257.0863609,984585699.7401457,5466629.390081494,517589,2392551.1646277583,275393.6015724436,93729,0.0,440936.809661823,616130.3311749141,1.0571352730288193,587.0400000000001,66.3370264,5.566457656259345,-8314866.238981723,4.352019359261905,8295.291167936552,42.04124819540813,36.930952176533204,4580890.027752991,3352493.662330101,864929.2788904859,-8943.556602496905,175193.5215130912,31307.660672953196,714090444.9694304,82.921283,985115999.5423183,886838495.1835777,-5466572.596061367,5247643.82932706,2024881.3222338683,64465744.39538298,-483735.82787805353,381967.7276513759,0.006496134585383784,10157.413325989497,53621.81426303078,2826805.6501742774,135350650.39013374,132053735.28148255,207906846.7,720726574.7085289,5456.643,50768.53208780751,5385314.671536514,1178527,2399350.186406704,374468.8641728357
18,2902343.555854142,279840.65932995244,0.0,362011.92795509804,203365.6142393504,565377.5421944484,1.0759298304257578,469.72800000000007,80.10314783999999,6.731418997882828,-8230022.621272706,8406.775834249846,5.272947279759039,33.82749873182126,39.979990696829105,4652050.9275068585,2694838.509069063,999190.884990014,-5803.510076056706,0.0040741237836483535,893845489.4315764,984394644.79725,5434678.887265889,518280,2374108.1537772967,271054.19184453937,94420,0.0,438054.1759862187,618183.367869846,1.0605960588272993,587.1600000000001,66.7526232,5.601590804693658,-8415001.211964382,4.313618574495942,8212.424426572661,41.622170612859705,39.37120830561715,4519871.7130619725,3329275.810943405,984392.7823862596,-9045.26815817698,180129.19188362735,31156.71724561994,713381425.6078194,83.440779,984906595.2985939,881490080.6830051,-5348414.500572574,5215494.929822688,1805173.429445133,63985313.567241356,-480430.8281416257,379122.8784805589,0.006496134585383784,10081.762147143152,53222.19007596091,2601423.1838442134,134424733.00184214,131209359.91441047,208573591.9,720235064.3747631,5447.6195,50599.22969908504,5348813.35004683,1188527,2148908.218430881,343734.7889857478
19,2879964.098950815,275535.4820001112,0.0,360083.40932643734,200892.00535973534,560975.4146861727,1.0803133017374322,469.9840000000001,80.61283295999999,6.774637164572545,-8073492.187069735,8328.045638503978,5.225817296454755,33.52438775258389,38.98561875501072,4592413.249522733,2682220.5150113725,865863.6269916098,-5861.4033358142315,0.0040741237836483535,889413634.4119066,984334471.6230934,5395484.895616571,518968,2353767.336448842,266587.2632374339,95108,0.0,435110.4983274424,612845.0663591924,1.0640681743379257,587.48,67.1773608,5.637500000864783,-8252126.921387408,4.271345162011735,8127.573676817182,41.20819628785154,38.33922186165794,4457225.604427489,3310451.602576088,851332.4143726169,-9113.940884506026,177734.56803174995,31039.54064752762,712756211.4284682,83.971701,984827932.1729332,875885131.3277806,-5604949.355224505,5184040.917776726,2142776.7930049547,63507870.066380784,-477443.5008605682,376297.4660047682,0.006496134585383784,10006.627835379495,52825.30438191762,2933685.827652994,133155197.36602142,130021128.4569049,208209540.5,720081985.4192377,5436.548,50479.57070815596,5305254.901936217,1198527,2536863.351613823,394086.5586088681
